0.2,1.396,
0.225,1.373,
0.25,1.362,
0.275,1.354,
0.3,1.349,
0.325,1.346,
0.35,1.343,
0.375,1.341,
0.4,1.339,
0.425,1.338,
0.45,1.337,
0.475,1.336,
0.5,1.335,
0.525,1.334,
0.55,1.333,
0.575,1.333,
0.6,1.332,
0.625,1.332,
0.65,1.331,
0.675,1.331,
0.7,1.331,
0.725,1.33,
0.75,1.33,
0.775,1.33,
0.8,1.329,
0.825,1.329,
0.85,1.329,
0.875,1.328,
0.9,1.328,
0.925,1.328,
0.95,1.327,
0.975,1.327,
1,1.327,
1.2,1.324,
1.4,1.321,
1.6,1.317,
1.8,1.312,
2,1.306,
2.2,1.296,
2.4,1.279,
2.6,1.242,
2.65,1.219,
2.7,1.188,
2.75,1.157,
2.8,1.142,
2.85,1.149,
2.9,1.201,
2.95,1.292,
3,1.371,
3.05,1.426,
3.1,1.467,
3.15,1.483,
3.2,1.478,
3.25,1.467,
3.3,1.45,
3.35,1.432,
3.4,1.42,
3.45,1.41,
3.5,1.4,
3.6,1.385,
3.7,1.374,
3.8,1.364,
3.9,1.357,
4,1.351,
4.1,1.346,
4.2,1.342,
4.3,1.338,
4.4,1.334,
4.5,1.332,
4.6,1.33,
4.7,1.33,
4.8,1.33,
4.9,1.328,
5,1.325,
5.1,1.322,
5.2,1.317,
5.3,1.312,
5.4,1.305,
5.5,1.298,
5.6,1.289,
5.7,1.277,
5.8,1.262,
5.9,1.248,
6,1.265,
6.1,1.319,
6.2,1.363,
6.3,1.357,
6.4,1.347,
6.5,1.339,
6.6,1.334,
6.7,1.329,
6.8,1.324,
6.9,1.321,
7,1.317,
7.1,1.314,
7.2,1.312,
7.3,1.309,
7.4,1.307,
7.5,1.304,
7.6,1.302,
7.7,1.299,
7.8,1.297,
7.9,1.294,
8,1.291,
8.2,1.286,
8.4,1.281,
8.6,1.275,
8.8,1.269,
9,1.262,
9.2,1.255,
9.4,1.247,
9.6,1.239,
9.8,1.229,
10,1.218,
10.5,1.185,
11,1.153,
11.5,1.126,
12,1.111,
12.5,1.123,
13,1.146,
13.5,1.177,
14,1.21,
14.5,1.241,
15,1.27,
15.5,1.297,
16,1.325,
16.5,1.351,
17,1.376,
17.5,1.401,
18,1.423,
18.5,1.443,
19,1.461,
19.5,1.476,
20,1.48,
21,1.487,
22,1.5,
23,1.511,
24,1.521,
25,1.531,
26,1.539,
27,1.545,
28,1.549,
29,1.551,
30,1.551,
32,1.546,
34,1.536,
36,1.527,
38,1.522,
40,1.519,
42,1.522,
44,1.53,
46,1.541,
48,1.555,
50,1.587,
60,1.703,
70,1.821,
80,1.886,
90,1.924,
100,1.957,
110,1.966,
120,2.004,
130,2.036,
140,2.056,
150,2.069,
160,2.081,
170,2.094,
180,2.107,
190,2.119,
200,2.13,
